,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8900293255131966,0.8463498153573517
1,ag_news,ag_news_16_13,0.7975378787878789,0.8488302879994702
2,ag_news,ag_news_16_21,0.8913742035339132,0.6759078637459064
3,ag_news,ag_news_16_42,0.9383301707779886,0.8546121559491343
4,ag_news,ag_news_16_87,0.8430335403534792,0.815028551592319
5,ag_news,mean,0.8720610237932913,0.8081457349288363
6,ag_news,std,0.04792442499773333,0.06753982623992687
7,,,,
8,ai2_arc,ai2_arc_32_100,0.25,0.2474916387959866
9,ai2_arc,ai2_arc_32_13,0.375,0.2842809364548495
10,ai2_arc,ai2_arc_32_21,0.3125,0.2775919732441471
11,ai2_arc,ai2_arc_32_42,0.40625,0.2207357859531772
12,ai2_arc,ai2_arc_32_87,0.375,0.2474916387959866
13,ai2_arc,mean,0.34375,0.2555183946488294
14,ai2_arc,std,0.05590169943749474,0.023035686097287712
15,,,,
16,ethos-disability,ethos-disability_16_100,0.873015873015873,0.7398325358851674
17,ethos-disability,ethos-disability_16_13,0.9054187192118226,0.7718246534282502
18,ethos-disability,ethos-disability_16_21,0.8423645320197044,0.6011369888134972
19,ethos-disability,ethos-disability_16_42,0.9687194525904204,0.8066666666666666
20,ethos-disability,ethos-disability_16_87,0.7793103448275862,0.2827127659574467
21,ethos-disability,mean,0.8737657843330812,0.6404347221502057
22,ethos-disability,std,0.06312929346661646,0.19198208696752955
23,,,,
24,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.7408906882591093,0.6479925303454716
25,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.6532019704433498,0.6959917780061665
26,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.7793103448275862,0.4735008252338162
27,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.716256157635468,0.4568965517241379
28,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.6235294117647059,0.5132867132867133
29,ethos-sexual_orientation,mean,0.7026377145860437,0.557533679719261
30,ethos-sexual_orientation,std,0.05697273135157439,0.09643712442872111
31,,,,
32,glue-cola,glue-cola_16_100,0.4383570037596047,0.0981716667585866
33,glue-cola,glue-cola_16_13,0.2085144140570747,0.001655937005124
34,glue-cola,glue-cola_16_21,0.4045199174779452,0.0826087759713488
35,glue-cola,glue-cola_16_42,0.1908854288927333,0.1307040184465954
36,glue-cola,glue-cola_16_87,0.5726562866782,0.0578989209451816
37,glue-cola,mean,0.36298661017311157,0.07420786382536729
38,glue-cola,std,0.14480853639328176,0.04328144721723497
39,,,,
40,superglue-rte,superglue-rte_16_100,0.71875,0.5126353790613718
41,superglue-rte,superglue-rte_16_13,0.5625,0.4584837545126354
42,superglue-rte,superglue-rte_16_21,0.65625,0.4873646209386281
43,superglue-rte,superglue-rte_16_42,0.5625,0.5234657039711191
44,superglue-rte,superglue-rte_16_87,0.71875,0.4981949458483754
45,superglue-rte,mean,0.64375,0.49602888086642594
46,superglue-rte,std,0.0701560760020114,0.022440823491581295
47,,,,
48,wiki_split,wiki_split_32_100,0.8920415473067225,0.8785013712359225
49,wiki_split,wiki_split_32_13,0.8808605871432175,0.8850181097126808
50,wiki_split,wiki_split_32_21,0.9001774554009296,0.8714987365154692
51,wiki_split,wiki_split_32_42,0.9061405643182994,0.8918708928146267
52,wiki_split,wiki_split_32_87,0.8767676109427026,0.881379608887914
53,wiki_split,mean,0.8911975530223742,0.8816537438333226
54,wiki_split,std,0.011133019821055494,0.006765291829080893
55,,,,
